date,trip_count,temp,wind,rain
2019-10-01,12183,69,13,0
2019-10-02,9071,66,11,1
2019-10-03,11496,54,9,0
2019-10-04,11767,60,16,0
2019-10-05,9315,56,9,0
2019-10-06,8632,65,14,0
2019-10-07,11449,78,24,0
2019-10-08,11403,62,10,0
2019-10-09,9153,58,16,0
2019-10-10,9473,56,23,1
2019-10-11,5724,54,23,1
2019-10-12,6744,56,11,1
2019-10-13,9942,63,8,0
2019-10-14,10029,62,11,0
2019-10-15,11776,61,4,0
2019-10-16,10933,59,20,0
2019-10-17,9260,55,27,0
2019-10-18,10988,59,17,0
2019-10-19,10114,59,7,0
2019-10-20,8994,58,7,0
2019-10-21,11676,59,12,0
2019-10-22,10609,57,14,1
2019-10-23,10209,57,15,1
2019-10-24,12187,67,16,0
2019-10-25,11864,60,8,0
2019-10-26,9726,57,9,0
2019-10-27,2133,53,25,1
2019-10-28,9058,55,9,1
2019-10-29,10533,56,4,1
2019-10-30,10321,62,6,1
2019-10-31,8742,71,22,1
